indicativo,nombre,provincia,indsinop,latitud,longitud,altitud
B013X,"ESCORCA, LLUC",ILLES BALEARS,08304,394924N,025309E,490
B051A,"SÓLLER, PUERTO",BALEARES,08316,394744N,024129E,5
B087X,BANYALBUFAR,ILLES BALEARS,,394121N,023046E,60
B103B,ANDRATX - SANT ELM,BALEARES,,393446N,022208E,52
B158X,"CALVIÀ, ES CAPDELLÀ",BALEARES,,393305N,022759E,50
B228,"PALMA, PUERTO",BALEARES,08301,393315N,023731E,3
B236C,"PALMA, UNIVERSITAT",ILLES BALEARS,,393832N,023838E,95
B248,"SIERRA DE ALFABIA, BUNYOLA",ILLES BALEARS,08303,394406N,024247E,1030
B275E,"SON BONET, AEROPUERTO",BALEARES,08302,393621N,024224E,47
B278,"PALMA DE MALLORCA, AEROPUERTO",BALEARES,08306,393339N,024412E,5
B301,"LLUCMAJOR, RADAR",BALEARES,08308,392247N,024706E,113
B334X,LLUCMAJOR,BALEARES,,392944N,025330E,140
B341X,PORRERES,BALEARES,,393022N,030020E,149
B346X,PORRERES,ILLES BALEARS,08310,393118N,030109E,120
B362X,"CAMPOS, CAN SION",ILLES BALEARS,,392421N,030351E,40
B373X,"CAMPOS, SALINES LLEVANT",BALEARES,,392104N,030043E,3
B398A,"CABRERA, PARQUE NACIONAL DE CABRERA",BALEARES,,390808N,025612E,165
B410B,SANTANYÍ,BALEARES,,392024N,030845E,45
B434X,PORTOCOLOM  ,ILLES BALEARS,08309,392452N,031618E,17
B496X,SON SERVERA,BALEARES,,393749N,032301E,25
B526X,ARTÀ,BALEARES,,394119N,032104E,110
B569X,CAPDEPERA,BALEARES,08311,394300N,032841E,57
B603X,ARTÀ-COLÒNIA DE SANT PERE,BALEARES,,394323N,031643E,99
B605X,"MURO, S'ALBUFERA",ILLES BALEARS,,394748N,030617E,2
B614E,MANACOR,ILLES BALEARS,,393325N,031304E,100
B640X,PETRA,BALEARES,,393659N,030716E,95
B644B,SINEU,ILLES BALEARS,,393836N,030008E,120
B656A,SANTA MARÍA DEL CAMÍ,BALEARES,,393909N,024801E,121
B662X,BINISSALEM,ILLES BALEARS,,394041N,025226E,105
B684A,"ESCORCA, SON TORRELLA",ILLES BALEARS,,394734N,024716E,842
B691,LA PUEBLA (SA CANOVA),BALEARES,,394454N,030055E,40
B691Y,SA POBLA,BALEARES,08312,394457N,030100E,32
B760X,POLLENÇA,ILLES BALEARS,,395237N,030127E,45
B780X,PORT DE POLLENÇA,BALEARES,,395434N,030601E,2
B800X,"LA MOLA, MAÓ",ILLES BALEARS,,395234N,041926E,78
B825B,ES MERCADAL,ILLES BALEARS,,395926N,040511E,80
B860X,CIUTADELLA,ILLES BALEARS,,395934N,035114E,20
B870C,"CIUTADELLA, CALA GALDANA",BALEARES,,395641N,035724E,43
B893,"MENORCA, AEROPUERTO",BALEARES,08314,395117N,041256E,91
B908X,SANT JOAN DE LABRITJA,ILLES BALEARS,,390322N,012933E,110
B925,SANT ANTONI DE PORTMANY,BALEARES,,385747N,011917E,32
B954,"IBIZA, AEROPUERTO",ILLES BALEARS,08373,385235N,012304E,6
B957,EIVISSA,BALEARES,,385521N,012629E,3
B986,FORMENTERA,BALEARES,,384137N,012749E,24
C018J,TÍAS,LAS PALMAS,,285811N,134125W,376
C019V,YAIZA PLAYA BLANCA,LAS PALMAS,,285132N,135006W,6
C029O,LANZAROTE AEROPUERTO,LAS PALMAS,60040,285707N,133601W,14
C038N,HARÍA,LAS PALMAS,,290837N,132921W,277
C048W,TINAJO,LAS PALMAS,,290233N,134051W,275
C101A,ROQUE DE LOS MUCHACHOS,SANTA CRUZ DE TENERIFE,,284521N,175343W,2223
C117A,PUNTAGORDA,STA. CRUZ DE TENERIFE,,284538N,175908W,684
C117Z,TIJARAFE,STA. CRUZ DE TENERIFE,,284029N,175612W,733
C126A,EL PASO,SANTA CRUZ DE TENERIFE,,283914N,175111W,844
C129V,FUENCALIENTE,STA. CRUZ DE TENERIFE,,282718N,175028W,19
C129Z,TAZACORTE,SANTA CRUZ DE TENERIFE,60004,283545N,175455W,62
C139E,LA PALMA AEROPUERTO,SANTA CRUZ DE TENERIFE,60005,283759N,174518W,33
C148F,SAN ANDRÉS Y SAUCES,STA. CRUZ DE TENERIFE,,284817N,174656W,362
C229J,PÁJARA,LAS PALMAS,,280257N,142129W,15
C239N,"TUINEJE,PUERTO GRAN TARAJAL",LAS PALMAS,,281231N,140123W,1
C248E,ANTIGUA,LAS PALMAS,,282501N,140109W,252
C249I,FUERTEVENTURA AEROPUERTO,LAS PALMAS,60035,282641N,135147W,25
C258K,LA OLIVA,LAS PALMAS,,283645N,135554W,217
C314Z,"VALLEHERMOSO, ALTO IGUALERO  ",STA. CRUZ DE TENERIFE,,280625N,171457W,1474
C316I,ARURE,STA. CRUZ DE TENERIFE,,280742N,171854W,916
C317B,AGULO,STA. CRUZ DE TENERIFE,,281044N,171247W,765
C319W,"VALLEHERMOSO, DAMA",STA. CRUZ DE TENERIFE,,280315N,171823W,190
C328W,HERMIGUA,STA. CRUZ DE TENERIFE,,280949N,171139W,252
C329B,"LA GOMERA, AEROPUERTO",STA. CRUZ DE TENERIFE,60007,280154N,171239W,219
C329Z,SAN SEBASTIÁN DE LA GOMERA,STA. CRUZ DE TENERIFE,60008,280523N,170641W,15
C406G,"LA OROTAVA, CAÑADAS TEIDE",SANTA CRUZ DE TENERIFE,,281327N,163734W,2150
C419L,LOMO DEL BALO,SANTA CRUZ DE TENERIFE,60024,281225N,164731W,403
C419X,ADEJE,SANTA CRUZ DE TENERIFE,,280453N,164238W,130
C428T,ARICO,SANTA CRUZ DE TENERIFE,,281051N,162900W,418
C429I,TENERIFE SUR AEROPUERTO,SANTA CRUZ DE TENERIFE,60025,280249N,163340W,64
C430E,IZAÑA,SANTA CRUZ DE TENERIFE,60010,281830N,162959W,2369
C438N,CANDELARIA,SANTA CRUZ DE TENERIFE,,282133N,162406W,463
C439J,GÜÍMAR,SANTA CRUZ DE TENERIFE,60018,281906N,162256W,115
C446G,"SAN CRISTÓBAL DE LA LAGUNA,LLANO DE LOS LOROS",STA. CRUZ DE TENERIFE,,283135N,161649W,868
C447A,TENERIFE NORTE AEROPUERTO,SANTA CRUZ DE TENERIFE,60015,282839N,161946W,632
C449C,STA.CRUZ DE TENERIFE,SANTA CRUZ DE TENERIFE,60020,282748N,161519W,36
C449F,ANAGA,SANTA CRUZ DE TENERIFE,,283029N,161144W,19
C457I,LA VICTORIA DE ACENTEJO,SANTA CRUZ DE TENERIFE,,282604N,162716W,567
C458A,TACORONTE,STA. CRUZ DE TENERIFE,,282947N,162512W,310
C459Z,PUERTO DE LA CRUZ,SANTA CRUZ DE TENERIFE,60012,282505N,163254W,25
C468X,SAN JUAN DE LA RAMBLA,SANTA CRUZ DE TENERIFE,,282223N,163733W,667
C611E,VEGA DE SAN MATEO,LAS PALMAS,,275836N,153502W,1702
C612F,"TEJEDA, CRUZ DE TEJEDA",LAS PALMAS,,280025N,153556W,1514
C614H,TEJEDA,LAS PALMAS,60038,275942N,153657W,1060
C619I,LA ALDEA DE SAN NICOLÁS,LAS PALMAS,60027,280003N,154850W,10
C619X,AGAETE,LAS PALMAS,,280604N,154246W,5
C619Y,LA ALDEA DE SAN NICOLÁS,LAS PALMAS,60027,280004N,154827W,13
C623I,"SAN BARTOLOME TIRAJANA, CUEVAS DEL PINAR",LAS PALMAS,,275536N,153559W,1220
C625O,"SAN BARTOLOME TIRAJANA, LOMO PEDRO ALFONSO",LAS PALMAS,,275125N,153842W,806
C628B,"LA ALDEA DE SAN NICOLÁS, TASARTE",LAS PALMAS,,275432N,154612W,318
C629Q,"MOGÁN, PUERTO RICO",LAS PALMAS,,274648N,154240W,10
C629X,"MOGÁN, PUERTO",LAS PALMAS,60036,274859N,154551W,10
C635B,"SAN BARTOLOME TIRAJANA, LAS TIRAJANAS",LAS PALMAS,,275512N,153427W,960
C639M,"MASPALOMAS, C. INSULAR TURISMO",LAS PALMAS,,274529N,153432W,45
C639U,"SAN BARTOLOME TIRAJANA, EL MATORRAL",LAS PALMAS,,274845N,152711W,41
C648C,AGÜIMES,LAS PALMAS,,275409N,152714W,306
C648N,"TELDE, CENTRO FORESTAL DORAMAS",LAS PALMAS,,275915N,152728W,344
C649I,GRAN CANARIA AEROPUERTO,LAS PALMAS,60030,275504N,152343W,24
C649R,"TELDE, MELENARA",LAS PALMAS,,275912N,152240W,9
C656V,TEROR,LAS PALMAS,,280431N,153250W,683
C658L,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,,280430N,152703W,269
C658X,"LAS PALMAS DE GRAN CANARIA, TAFIRA",LAS PALMAS,,280441N,152712W,269
C659H,"LAS PALMAS DE GRAN CANARIA, SAN CRISTOBAL",LAS PALMAS,60029,280523N,152458W,55
C659M,"LAS PALMAS DE GRAN CANARIA, PL. DE LA FERIA",LAS PALMAS,60032,280647N,152517W,15
C665T,VALLESECO,LAS PALMAS,,280356N,153356W,900
C668V,AGAETE - SUERTE ALTA,LAS PALMAS,,280540N,154030W,352
C669B,ARUCAS,LAS PALMAS,,280830N,153024W,86
C689E,MASPALOMAS,LAS PALMAS,60037,274409N,153545W,6
C839I,TEGUISE,LAS PALMAS,,291355N,133007W,10
C839X,LA GRACIOSA,LAS PALMAS,60045,291347N,133037W,19
C916Q,"EL PINAR, DEPÓSITO",STA. CRUZ DE TENERIFE,,274308N,175841W,948
C917E,"EL PINAR, LA DEHESA",STA. CRUZ DE TENERIFE,,274331N,180654W,713
C919K,TACORON-LAPILLAS-TORTUGA,STA. CRUZ DE TENERIFE,,273955N,180107W,98
C925F,"SAN ANDRÉS, VALVERDE",STA. CRUZ DE TENERIFE,,274608N,175737W,1070
C928I,VALVERDE,STA. CRUZ DE TENERIFE,,274839N,175510W,670
C929I,HIERRO AEROPUERTO,SANTA CRUZ DE TENERIFE,60001,274908N,175320W,32
C939T,"FRONTERA, SABINOSA",STA. CRUZ DE TENERIFE,,274523N,180627W,20
0002I,VANDELLÒS,TARRAGONA,08169,405729N,005217E,32
0009X,ALFORJA,TARRAGONA,,411250N,005748E,406
0016A,REUS AEROPUERTO,TARRAGONA,08175,410842N,010949E,71
0016B,REUS (CENTRE LECTURA),TARRAGONA,,410915N,010632E,118
0034X,VALLS,TARRAGONA,,411735N,011539E,233
0042Y,TARRAGONA,TARRAGONA,,410726N,011457E,55
0061X,PONTONS,BARCELONA,,412501N,013109E,632
0066X,VILAFRANCA DEL PENEDÈS,BARCELONA,,411949N,014037E,177
0073X,SITGES,BARCELONA,,411438N,015109E,58
0076,BARCELONA AEROPUERTO,BARCELONA,08181,411734N,020412E,4
0092X,BERGA,BARCELONA,,420605N,015127E,682
0106X,BALSARENY,BARCELONA,,415159N,015221E,361
0114X,PRATS DE LLUÇANÈS,BARCELONA,,420025N,020136E,700
0120X,MOIÀ,BARCELONA,,414848N,020543E,742
0149D,MANRESA (LA CULLA),BARCELONA,,414312N,015025E,291
0149X,MANRESA,BARCELONA,08174,414312N,015025E,291
0158O,MONTSERRAT,BARCELONA,,413540N,015021E,738
0158X,MONISTROL DE MONTSERRAT,BARCELONA,,413540N,015021E,738
0171X,IGUALADA,BARCELONA,08172,413444N,013704E,313
0194D,"CORBERA, PUIG D'AGULLES",BARCELONA,08179,412429N,015306E,647
0200E,"BARCELONA, FABRA",BARCELONA,,412506N,020727E,408
0201D,"BARCELONA, PORT OLÍMPIC",BARCELONA,08180,412326N,021200E,26
0201X,"BARCELONA, DRASSANES",BARCELONA,,412230N,021026E,11
0222X,CALDES DE MONTBUI,BARCELONA,,413646N,021006E,175
0229I,SABADELL AEROPUERTO,BARCELONA,08192,413125N,020611E,146
0244X,VILASSAR DE DALT,BARCELONA,,413018N,022145E,56
0252D,ARENYS DE MAR,BARCELONA,08186,413514N,023224E,74
0255B,SANTA SUSANNA,BARCELONA,08188,413903N,024149E,40
0260X,FOGARS DE MONTCLÚS,BARCELONA,,414536N,022552E,936
0281Y,BLANES,GIRONA,,414037N,024818E,45
0284X,CASTELL D'ARO,GIRONA,,414828N,030151E,14
0294B,LA BISBAL (D'EMPORDA 3),GIRONA,,415804N,030232E,51
0312X,SANT PAU DE SEGÚRIES,GIRONA,,421530N,022152E,851
0320I,PLANOLES,GIRONA,,421901N,020610E,1151
0321,CAMPDEVANOL,GIRONA,,421322N,021002E,731
0324A,RIPOLL,GIRONA,08118,421129N,021146E,675
0341,TONA (ESCOLA),BARCELONA,,415049N,021321E,607
0341X,TONA,BARCELONA,,415049N,021321E,607
0349,SANT JULIÀ  DE VILATORTA,BARCELONA,08119,415534N,021903E,578
0360X,LES PLANES D'HOSTOLES,GIRONA,,420310N,023304E,337
0363X,SANT HILARI,GIRONA,,415251N,023048E,810
0367,GIRONA AEROPUERTO,GIRONA,08184,415441N,024547E,143
0370B,"GIRONA, ANTIC INSTITUT",GIRONA,,415848N,024931E,95
0370E,GIRONA,GIRONA,,415820N,024910E,76
0372C,PORQUERES,GIRONA,08120,420616N,024549E,157
0385X,L'ESTARTIT,GIRONA,,420314N,031205E,1
0394X,LA VALL DE BIANYA,GIRONA,,421238N,022819E,350
0411X,CASTELLÓ D'EMPÚRIES,GIRONA,,421329N,030535E,2
0413A,MAÇANET DE CABRENYS,GIRONA,,422313N,024520E,355
0421E,ESPOLLA 'LES ALBERES',GIRONA,,422324N,030022E,100
0421X,ESPOLLA,GIRONA,,422324N,030022E,100
0429X,FIGUERES,GIRONA,,421533N,025737E,45
0433D,CABO DE CREUS,GIRONA,08121,421909N,031856E,75
1002Y,"BAZTAN, IRURITA",NAVARRA,08030,430809N,013235W,183
1010X,BERA,NAVARRA,,431643N,014033W,54
1012P,IRUN,GIPUZKOA,,431935N,014748W,120
1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,08029,432125N,014732W,4
1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,08029,432125N,014732W,4
1021X,"ERRENTERIA, AÑARBE",GIPUZKOA,,431250N,015244W,165
1021Y,ARTICUTZA (AUTOMATICA),NAVARRA,,431244N,014752W,305
1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,08027,431823N,020228W,250
1025A,SEGURA,GIPUZKOA,,430056N,021524W,255
1025X,"BEASAIN, ARRIARAN",GIPUZKOA,,430317N,021355W,255
1026X,ORDIZIA,GIPUZKOA,,430329N,021103W,290
1033X,ARESO,NAVARRA,,430506N,015703W,520
1037X,LEGAZPI,GIPUZKOA,,430306N,022014W,460
1037Y,ZUMARRAGA,GIPUZKOA,08037,430448N,021903W,431
1038X,AZPEITIA,GIPUZKOA,,431021N,021602W,180
1041A,ZUMAIA,GIPUZKOA,08026,431808N,021504W,28
1044X,"ARAMAIO, ETXAGUEN",ARABA/ALAVA,,430328N,023523W,617
1048X,ARETXABALETA,GIPUZKOA,,430130N,022757W,308
1049N,ELGETA,GIPUZKOA,,430818N,022945W,470
1050J,ELGOIBAR,GIPUZKOA,08036,431233N,022448W,119
1052A,MUTRIKU,GIPUZKOA,,431902N,022350W,150
1055B,LEKEITIO,BIZKAIA,08024,432237N,023037W,12
1056K,FORUA,BIZKAIA,,432033N,024016W,45
1057B,MATXITXAKO,BIZKAIA,,432714N,024510W,93
1059X,PUNTA GALEA,BIZKAIA,08059,432230N,030118W,81
1060X,AMURRIO,ARABA/ALAVA,,430301N,030020W,240
1064L,"OROZKO, IBARRA",BIZKAIA,,430547N,025137W,270
1069Y,"ABADIÑO, URKIOLA",BIZKAIA,,430557N,023839W,747
1074C,AMOREBIETA-ETXANO,BIZKAIA,,431210N,024222W,100
1078C,BALMASEDA,BIZKAIA,,431050N,031235W,210
1078I,GÜEÑES,BIZKAIA,08035,431212N,030617W,208
1082,BILBAO AEROPUERTO,BIZKAIA,08025,431753N,025423W,42
1083B,SOPUERTA,BIZKAIA,,431647N,031007W,177
1083L,CASTRO URDIALES,CANTABRIA,08020,432341N,031402W,45
1089U,RAMALES DE LA VICTORIA,CANTABRIA,,431521N,032815W,80
1096X,"BARCENA DE CICERO, TRETO",CANTABRIA,,432348N,032811W,10
1103X,SAN ROQUE DE RIOMIERA,CANTABRIA,,431339N,034316W,849
1109,SANTANDER AEROPUERTO,CANTABRIA,08021,432526N,034932W,3
1109X,SANTANDER AEROPUERTO,CANTABRIA,08021,432543N,034953W,3
1110,"SANTANDER, CIUDAD",CANTABRIA,,432754N,034908W,64
1111,SANTANDER,CANTABRIA,08023,432928N,034802W,52
1111X,SANTANDER,CANTABRIA,08023,432928N,034802W,51
1124E,VILLACARRIEDO,CANTABRIA,,431444N,035058W,196
1135C,"LOS TOJOS, BÁRCENA MAYOR",CANTABRIA,,430849N,041251W,460
1152C,SAN FELICES DE BUELNA,CANTABRIA,,431619N,040255W,105
1154H,"TORRELAVEGA, SIERRAPANDO",CANTABRIA,,432131N,040139W,110
1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,08017,432336N,042332W,38
1167B,"CAMALEÑO, FUENTE DE",CANTABRIA,,430838N,044846W,1100
